2026-01-28T04:14:08.000000000Z [inf]  Starting Container
2026-01-28T04:19:29.863103336Z [err]  INFO:agentic.solution_workflow:[SOLUTION]    23 total items
2026-01-28T04:19:29.863107822Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Found 23 items for solution
2026-01-28T04:19:29.863120370Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Node 3: Running PARALLEL 3-Source Specification Enrichment...
2026-01-28T04:19:29.863125254Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Starting OPTIMIZED parallel enrichment for 23 items...
2026-01-28T04:19:29.863129297Z [err]  INFO:agentic.solution_workflow:[SOLUTION] 🔥 FIX #5: Deduplication found 5 duplicates
2026-01-28T04:19:29.864613690Z [err]  INFO:agentic.context_managers:Created thread pool 'global_executor' with 16 workers
2026-01-28T04:19:29.864621781Z [err]  INFO:agentic.global_executor_manager:GlobalExecutorManager initialized with max 16 workers (managed)
2026-01-28T04:19:29.864626900Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Coriolis Flow Meter
2026-01-28T04:19:29.864632809Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.864638219Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Suction Pressure Transmitter
2026-01-28T04:19:29.864643471Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.864645882Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:============================================================
2026-01-28T04:19:29.864649097Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Discharge Pressure Transmitter
2026-01-28T04:19:29.864654471Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[SHARED_LLM] Creating shared managed LLM instance (first time)...
2026-01-28T04:19:29.864655639Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.864660966Z [err]  INFO:agentic.langchain_context_managers:Initialized LangChain LLM client: gemini-2.5-flash
2026-01-28T04:19:29.864666643Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[SHARED_LLM] Shared managed LLM instance created successfully
2026-01-28T04:19:29.864672682Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[OPT_PARALLEL] Phase 1: LLM ready in 0.07s
2026-01-28T04:19:29.864678320Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[OPT_PARALLEL] Phase 2: Processing 18 products in parallel...
2026-01-28T04:19:29.864683620Z [err]  INFO:agentic.context_managers:Acquiring thread_pool resource: global_executor
2026-01-28T04:19:29.866382275Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Stud Bolts and Nuts Set
2026-01-28T04:19:29.866390070Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.866390466Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Ex-d Junction Box
2026-01-28T04:19:29.866395671Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: ATEX Certified Cable Gland
2026-01-28T04:19:29.866401681Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.866401785Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.866408880Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Process Temperature Transmitter
2026-01-28T04:19:29.866409692Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Heavy Duty Mounting Bracket
2026-01-28T04:19:29.866416974Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.866422464Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.866423234Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Spiral Wound Gasket
2026-01-28T04:19:29.866430436Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.866432993Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Pressure Relief Valve
2026-01-28T04:19:29.866439607Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.866446749Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Variable Frequency Drive (VFD)
2026-01-28T04:19:29.866455113Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.868032749Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.868040058Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.868047208Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for 2-Valve Manifold...
2026-01-28T04:19:29.868053802Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: 2-Valve Manifold
2026-01-28T04:19:29.868063153Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.868069557Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Instrument Root Valve
2026-01-28T04:19:29.868076577Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.868082040Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Seamless Impulse Tubing
2026-01-28T04:19:29.868088339Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.868094243Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Threaded Thermowell
2026-01-28T04:19:29.868099808Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.868106388Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Upstream Rupture Disc Assembly
2026-01-28T04:19:29.868112809Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.868120826Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.868125911Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Ex-d Junction Box...
2026-01-28T04:19:29.869435264Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.869443746Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.869451296Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Upstream Rupture Disc Assembly...
2026-01-28T04:19:29.869458062Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.869463907Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.869466213Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.869467103Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for ATEX Certified Cable Gland...
2026-01-28T04:19:29.869473561Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.869478248Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.869484452Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.869490276Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Spiral Wound Gasket...
2026-01-28T04:19:29.869496204Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.869501614Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.869508731Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Coriolis Flow Meter...
2026-01-28T04:19:29.870911866Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Instrument Root Valve...
2026-01-28T04:19:29.870922377Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.870938244Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Seamless Impulse Tubing...
2026-01-28T04:19:29.870966902Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.870979310Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.871009473Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Heavy Duty Mounting Bracket...
2026-01-28T04:19:29.871020447Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.871039986Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.871050864Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Variable Frequency Drive (VFD)...
2026-01-28T04:19:29.871062422Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.871085605Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.871096448Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Pressure Relief Valve...
2026-01-28T04:19:29.871124105Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.871135812Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.872901442Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.872910882Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Threaded Thermowell...
2026-01-28T04:19:29.872914050Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Discharge Pressure Transmitter...
2026-01-28T04:19:29.872918058Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.872925039Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.872925426Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.872935629Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.872962211Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Suction Pressure Transmitter...
2026-01-28T04:19:29.872972611Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.872995168Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.873006483Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Stud Bolts and Nuts Set...
2026-01-28T04:19:29.873010572Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.873021744Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.877904379Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Process Temperature Transmitter...
2026-01-28T04:19:29.877912989Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:49.866585855Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:49.866592254Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 40 specs, total: 40
2026-01-28T04:19:49.866599761Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 40 specs after 1 iterations
2026-01-28T04:19:49.866605453Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed Upstream Rupture Disc Assembly in 19.69s (user: 2, llm: 40)
2026-01-28T04:19:49.866611473Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Input Circuit Breaker
2026-01-28T04:19:49.866618012Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:49.866623714Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:49.866629893Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 59 specs, total: 59
2026-01-28T04:19:49.866636440Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 59 specs after 1 iterations
2026-01-28T04:19:49.866659916Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed Suction Pressure Transmitter in 23.69s (user: 7, llm: 59)
2026-01-28T04:19:49.866664038Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Processing: Input Line Reactor
2026-01-28T04:19:49.866669213Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:49.866673419Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:49.866677549Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 57 specs, total: 57
2026-01-28T04:19:49.869028887Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 57 specs after 1 iterations
2026-01-28T04:19:49.869039672Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed Discharge Pressure Transmitter in 25.27s (user: 7, llm: 57)
2026-01-28T04:19:49.869046249Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:49.869051767Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:49.869056644Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Initial generation for Input Circuit Breaker...
2026-01-28T04:19:49.869062251Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:49.869067466Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 51 specs, total: 51
2026-01-28T04:19:49.869074104Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 51 specs after 1 iterations
2026-01-28T04:19:49.869079291Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed Ex-d Junction Box in 25.59s (user: 4, llm: 51)
2026-01-28T04:19:49.869085833Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:49.869091068Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 47 specs, total: 47
2026-01-28T04:19:49.869096407Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 47 specs after 1 iterations
2026-01-28T04:19:49.869101120Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed Heavy Duty Mounting Bracket in 26.02s (user: 2, llm: 47)
2026-01-28T04:19:49.870892087Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:49.870899106Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 54 specs, total: 54
2026-01-28T04:19:49.870904332Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 54 specs after 1 iterations
2026-01-28T04:19:49.870909072Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed ATEX Certified Cable Gland in 26.20s (user: 3, llm: 54)
2026-01-28T04:19:50.913020246Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:51.117424030Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 60 specs, total: 60
2026-01-28T04:19:51.117434908Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 60 specs after 1 iterations
2026-01-28T04:19:51.117442737Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed 2-Valve Manifold in 28.28s (user: 3, llm: 60)
2026-01-28T04:19:52.022867535Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:52.097012105Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Iteration 1: Got 56 specs, total: 56
2026-01-28T04:19:52.097020888Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[LLM_SPECS_ITER] Completed: 56 specs after 1 iterations
2026-01-28T04:19:52.097026919Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[PARALLEL_PRODUCT] Completed Coriolis Flow Meter in 29.29s (user: 7, llm: 56)
